NODE_ID,LINK_ID,LANES,MAX_SPD,CURVATURE,SLOPE
3070021200,3070221700,1,30,,
3070021800,3070225600,1,30,,
3110023700,3110052100,2,80,0,0
3070018900,3070041200,2,50,0,0
3070086700,3070023701,2,30,,
3070012000,3070243700,3,60,,
3070015000,3070142202,2,50,,
3070021200,3070223500,1,30,,
3070018601,3070040503,2,50,-17.523,0.27
3060047700,3060236000,1,40,0,0
3070017300,3070037800,3,50,0,0
3070086700,3070023701,2,30,,
3070018601,3070040503,2,50,-17.523,0.27
3070102000,3070041902,2,50,0,0
3070019100,3070041712,3,60,0,0
3070020400,3070045400,2,50,0,0
3070018300,3070040300,3,60,0,0
3070016801,3070037304,3,60,0,0
3060090100,3060112101,2,70,0,0
3070016801,3070507000,2,50,0,0
3050083100,3050264600,2,90,16.006,-2.3
3070017400,3070037901,3,50,0,0
3070017700,3070038602,3,50,0,0
3070018300,3070040300,3,60,0,0
3070018601,3070371500,2,50,,
3070201700,3070024703,5,80,0,0
3070014801,3070250700,3,60,,
3070016801,3070507000,2,50,0,0
3070016801,3070507000,2,50,0,0
3070013100,3070027603,3,50,0,0
3070017601,3070179300,2,50,,
3070201700,3070593000,1,40,0,0
3110022300,3110048900,1,40,0,0
3070016800,3070168901,3,50,,
3070020600,3070219600,1,30,0,0
3070018700,3070193304,1,30,,
3070201100,3070086402,5,80,0,0
3070087101,3070517000,1,50,,
3070017701,3070037600,3,50,31.606,-0.074
3070019801,3070043502,2,50,0,0
3070018700,3070041701,3,60,0,0
3070016801,3070508000,3,50,0,0
3070018601,3070040503,2,50,-17.523,0.27
3070016801,3070507000,2,50,0,0
3070020600,3070045400,2,50,0,0
3070020200,3070215700,1,30,,
3070086700,3070023701,2,30,,
3070020400,3070217900,2,50,,
3070019700,3070043000,2,50,0,0
3070087100,3070240302,3,80,130.128,0.527
3110022500,3110048800,2,80,0,0
3060090100,3060239100,2,80,0,0
3070018700,3070041701,3,60,0,0
3110022100,3110048900,1,40,0,0
3070017701,3070186100,3,50,,
3070017500,3070038701,2,50,0,0
3070017500,3070038801,2,50,0,0
3070016200,3070035600,3,60,1.228,0.1
3070017500,3070038801,2,50,0,0
3070016700,3070178700,2,50,,
3070018601,3070040505,2,50,0,0
3070015300,3070032703,3,60,-1.059,0.087
3070020400,3070218000,2,50,,
3070013001,3070029002,3,60,0.496,0.062
3070017701,3070186200,3,50,,
3070019700,3070043000,2,50,0,0
3070017400,3070037901,3,50,0,0
3070016804,3070037309,3,60,0,0
3070020000,3070043700,2,50,0,0
3070017300,3070037600,3,50,31.606,-0.074
3070087101,3070240201,3,80,-129.033,-0.512
3070087100,3070251703,1,40,,
3070006200,3070015000,3,90,117.23,-1.483
3070187301,3070569401,3,60,0,0
3070017602,3070569401,3,60,0,0
3070017701,3070037500,3,50,-24.81,0.078
3070018601,3070040503,2,50,-17.523,0.27
3060090100,3060112101,2,70,0,0
3070017401,3070037901,3,50,0,0
3070017300,3070183900,2,50,,
3070012000,3070240202,3,80,99.308,0.205
3070097400,3070279100,1,40,0,0
3070021800,3070040602,2,50,0,0
3070087100,3070251703,1,40,,
3070020400,3070218000,2,50,,
3070019200,3070042300,2,50,0,0
3070019102,3070043401,3,60,,
3070016804,3070509300,2,60,,
3070097400,3070278900,2,50,0,0
3070018602,3070040606,2,50,0,0
3070021800,3070225800,1,30,,
3070017500,3070038003,3,50,0,0
3070012000,3070024600,3,90,0,0
3070012500,3070250900,3,60,0,0
3070014801,3070250700,3,60,,
3070017400,3070564801,2,50,,
3070019700,3070043000,2,50,0,0
3070020000,3070043602,2,50,0,0
3060090100,3060112202,2,70,0,0
3070012600,3070025703,5,60,-0.87,0.237
3070018300,3070039602,3,50,51.2,-0.068
3070016804,3070037309,3,60,0,0
3070009801,3070019400,3,90,49.836,1.222
3070201400,3070086402,5,80,0,0
3070018900,3070041200,2,50,0,0
3070014500,3070031800,3,60,-263.984,-0.075
3110022000,3110048500,2,90,21.202,-0.347
3070018300,3070040300,3,60,0,0
3070018601,3070040606,2,50,0,0
3070201500,3070025803,5,60,0,0
3070015000,3070142202,2,50,,
3070016804,3070037309,3,60,0,0
3070019700,3070042800,2,50,0,0
3060090100,3060239000,1,70,0,0
3070016809,3070037418,3,60,0,0
3070012000,3070024500,3,90,-196.047,-1.086
3070014500,3070031800,3,60,-263.984,-0.075
3060090100,3060239100,2,80,0,0
3070020600,3070045400,2,50,0,0
3110022100,3110048500,2,90,21.202,-0.347
3070016200,3070034102,3,60,0,0
3070202000,3070024802,5,80,-8.23,0.074
3070016804,3070037316,3,60,0,0
3070016804,3070037309,3,60,0,0
3070013001,3070029002,3,60,0.496,0.062
3070018700,3070041701,3,60,0,0
3070016800,3070037317,3,60,0,0
